"","Male","Female","Total"
"1",90,68,90
"2",82,NA,78
"3",81,88,67
"4",98,92,87
"5",58,78,89
"6",74,88,77
"7",89,86,67
"8",100,78,78
"9",87,75,70
"10",87,68,81
"11",83,84,82
"12",78,65,85
"13",81,NA,98
"14",89,NA,94
"15",88,NA,87
"16",93,NA,98
"17",NA,NA,93
"18",NA,NA,65
"19",NA,NA,76
"20",NA,NA,78
"21",NA,NA,96
"22",NA,NA,87
"23",NA,NA,81
"24",86,NA,88
"25",NA,NA,74
"26",NA,NA,67
"27",NA,NA,78
"28",NA,NA,82
"29",NA,NA,76
"30",NA,NA,78
"31",NA,NA,94
"32",NA,NA,65
"33",NA,NA,67
"34",NA,NA,92
"35",84,92,76
"36",NA,NA,94
"37",NA,NA,76
"38",NA,NA,93
"39",NA,NA,97
"40",NA,NA,89
"41",NA,NA,76
"42",NA,NA,98
"43",NA,NA,93
"44",NA,NA,87
"45",NA,NA,76
"46",67,NA,58
"47",NA,NA,76
"48",NA,NA,74
"49",NA,NA,79
"50",NA,NA,83
"51",NA,NA,84
"52",NA,NA,91
"53",NA,NA,95
"54",NA,NA,98
"55",NA,NA,93
"56",NA,NA,96
"57",91,NA,73
"58",NA,NA,97
"59",NA,NA,92
"60",NA,NA,90
"61",NA,NA,87
"62",NA,NA,85
"63",NA,NA,76
"64",NA,NA,73
"65",NA,NA,76
"66",NA,NA,65
"67",NA,NA,68
"68",100,NA,67
"69",NA,NA,75
"70",NA,NA,79
"71",NA,NA,81
"72",NA,NA,83
"73",NA,NA,98
"74",NA,NA,76
"75",NA,NA,74
"76",NA,NA,85
"77",NA,NA,89
"78",NA,NA,91
"79",67,96,98
"80",NA,NA,100
"81",NA,NA,87
"82",NA,NA,93
"83",NA,NA,87
"84",NA,NA,83
"85",NA,NA,86
"86",NA,NA,78
"87",NA,NA,89
"88",NA,NA,85
"89",NA,NA,88
"90",98,78,84
"91",NA,NA,83
"92",NA,NA,93
"93",NA,NA,94
"94",NA,NA,98
"95",NA,NA,99
"96",NA,NA,100
"97",NA,NA,67
"98",NA,NA,78
"99",NA,NA,83
"100",NA,NA,76
"101",94,87,94
"102",NA,NA,79
"103",NA,NA,83
"104",NA,NA,88
"105",NA,NA,85
"106",NA,NA,92
"107",NA,NA,95
"108",NA,NA,88
"109",NA,NA,82
"110",NA,NA,86
"111",NA,NA,81
"112",67,87,68
"113",78,78,67
"114",NA,NA,78
"115",NA,NA,86
"116",NA,NA,75
"117",NA,NA,67
"118",NA,NA,68
"119",NA,NA,91
"120",NA,NA,84
"121",NA,NA,100
"122",NA,NA,65
"123",87,98,78
"124",89,75,98
"125",98,94,87
"126",89,83,94
"127",89,90,92
"128",98,79,78
"129",91,73,87
"130",88,57,96
"131",87,90,89
"132",98,NA,89
"133",98,94,98
"134",87,83,78
"135",81,93,89
"136",87,100,98
"137",68,99,87
"138",89,95,91
"139",67,45,78
"140",91,86,98
"141",85,65,88
"142",89,87,87
"143",100,NA,90
"144",99,65,75
"145",86,83,98
"146",94,92,94
"147",92,73,87
"148",82,85,83
"149",78,92,81
"150",87,78,79
"151",88,67,87
"152",93,83,73
"153",73,79,68
"154",78,NA,67
"155",97,74,57
"156",76,85,89
"157",94,92,90
"158",91,78,91
"159",85,67,94
"160",87,89,85
"161",81,67,83
"162",78,70,89
"163",78,88,93
"164",82,82,99
"165",76,NA,88
"166",85,94,100
"167",87,98,86
"168",91,65,99
"169",68,78,94
"170",87,87,95
"171",77,74,92
"172",78,78,86
"173",81,76,82
"174",85,94,65
"175",78,73,78
"176",83,NA,78
"177",87,67,87
"178",93,94,87
"179",76,93,93
"180",96,76,65
"181",81,93,73
"182",67,76,83
"183",82,79,97
"184",78,84,92
"185",65,95,76
"186",92,96,73
"187",85,NA,45
"188",98,98,85
"189",76,92,94
"190",97,87,92
"191",89,76,91
"192",98,65,85
"193",87,79,78
"194",76,83,87
"195",74,76,83
"196",83,85,81
"197",91,91,78
"198",95,NA,67
"199",98,93,79
"200",76,94,82
"201",93,86,74
"202",97,85,85
"203",90,83,85
"204",85,94,87
"205",73,99,92
"206",76,67,91
"207",68,83,78
"208",75,79,68
